Bill Number,Year,Subfields,Failure Reason/ or Passed,Stalled in Committee? (1 Yes/0 No),Chamber,Sponsor Party,Bipartisan?,Introduced Month,# of Sponsors,Link
H.R. 6943,2024,General Ethical Usage; Deepfake; Data Usage,Stalled in Committee (House),1,House,Republican,TRUE,January,10,https://www.congress.gov/bill/118th-congress/house-bill/6943
S. 4236,2024,Push for AI Research; Artificial General Intelligence,Stalled in Committee,1,Senate,Democrat,TRUE,May,3,https://www.congress.gov/bill/118th-congress/senate-bill/4236
S. 5436,2024,AI in Government; Policy Advisory; Data Usage,Stalled in Committee,1,Senate,Democrat,TRUE,December,2,https://www.congress.gov/bill/118th-congress/senate-bill/5436
S. 3897,2024,AI in Government; General Ethical Usage; Deepfake,Stalled in Committee,1,Senate,Democrat,TRUE,March,3,https://www.congress.gov/bill/118th-congress/senate-bill/3897
H.R. 7532,2024,AI in Government; General Ethical Usage; Policy Advisory,Stalled in Committee (House),1,House,Republican,TRUE,March,8,https://www.congress.gov/bill/118th-congress/house-bill/7532
H.R. 9639,2024,Deepfake; General Ethical Usage; Policy Advisory,Stalled in Committee,1,House,Democrat,TRUE,September,21,https://www.congress.gov/bill/118th-congress/house-bill/9639
H.R. 9042,2024,AI in Government; General Ethical Usage,Stalled in Committee,1,House,Democrat,FALSE,July,1,https://www.congress.gov/bill/118th-congress/house-bill/9042
S. 3875,2024,Deepfake; General Ethical Usage; Policy Advisory,Stalled in Committee,1,Senate,Democrat,TRUE,March,2,https://www.congress.gov/bill/118th-congress/senate-bill/3875
H.R. 10125,2024,General Ethical Usage; Policy Advisory,Stalled in Committee,1,House,Democrat,TRUE,November,2,https://www.congress.gov/bill/118th-congress/house-bill/10125
H.R. 5077,2024,General Ethical Usage;,Expired Without Action,1,House,Democrat,TRUE,July,21,https://www.congress.gov/bill/118th-congress/house-bill/5077
H.R. 8756,2024,Policy Advisory,Stalled in Committee (House),1,House,Democrat,TRUE,June,3,https://www.congress.gov/bill/118th-congress/house-bill/8756
H.R. 9737,2024,Data Usage,Stalled in Committee (House),1,House,Democrat,FALSE,September,2,https://www.congress.gov/bill/118th-congress/house-bill/9737
H.R. 3831,2024,General Ethical Usage,Stalled in Committee (House),1,House,Democrat,FALSE,June,2,https://www.congress.gov/bill/118th-congress/house-bill/3831
H.R. 8858,2024,Deepfake; General Ethical Usage,Stalled in Committee (House),1,House,Democrat,FALSE,June,21,https://www.congress.gov/bill/118th-congress/house-bill/8858
